,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,DE000A161N30,Total
2025-05-08,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.5,9.769999999999998
2025-05-07,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.5,9.769999999999998
2025-05-06,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.5,9.769999999999998
2025-05-05,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-05-04,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-05-03,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-05-02,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-05-01,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-04-30,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
2025-04-29,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.79,0.0,0.0,0.51,0.6,0.82,0.71,0.52,0.6,0.0,9.269999999999998
