,IT0004965148,IT0004056880,IT0001031084,IT0003261697,IT0005495657,NL0015435975,IT0000066123,FR0000031122,FR0012435121,FR0013176526,FR0010451203,FR0000064578,FR0010220475,FR0000131906,FR0013326246,FR001400J770,FR0000121964,FR0000130395,FR0010411983,FR0010908533,DE000A1PHFF7,DE000A161408,DE000PSM7770,DE000A1EWWW0,DE000A1DAHH0,DE000ZAL1111,DE000EVNK013,DE0006969603,DE000A0D6554,DE000A0LD6E6,DE000A0DJ6J9,DE0007030009,DE000A12DM80,DE0005470405,DE000SYM9999,Total
2025-04-28,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-27,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-26,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-25,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-24,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-23,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.36
2025-04-22,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.72,0.92,0.0,0.0,0.39,8.580000000000002
2025-04-21,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.72,0.79,0.0,0.0,0.39,8.34
2025-04-20,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.72,0.79,0.0,0.0,0.39,8.34
2025-04-19,0.0,0.0,0.0,0.0,1.6,0.48,0.72,0.0,1.41,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.54,0.0,0.0,0.72,0.79,0.0,0.0,0.39,8.34
