,IT0000072170,IT0003796171,IT0005043507,IT0004998065,IT0003261697,IT0005495657,IT0000066123,IT0005508921,IT0003007728,IT0003856405,IT0004712375,IT0003073266,IT0001044996,IT0005218380,IT0000076536,NL0015000LU4,IT0004965148,IT0005244402,IT0004604762,IT0004056880,IT0004967292,IT0000784196,IT0003497168,FR0000121964,FR0013176526,FR0010220475,FR0000051807,FR0012435121,FR0000131906,FR0000051732,FR0014008VX5,FR0000130577,FR0013326246,NL0014559478,FR0010241638,FR0010908533,FR0000120172,FR001400J770,FR0000120404,FR0011981968,FR0000125338,FR0010313833,FR0000130809,FR0000121485,FR0000120693,FR0000054470,FR0000125007,FR0000121147,FR0010112524,FR0010386334,FR0000035164,FR0011726835,FR0010667147,FR0013269123,FR0010307819,FR0000131757,FR0000121220,FR0010451203,FR0013506730,FR0000053381,FR0000071946,FR001400PVN6,FR0000044448,FR0010208488,FR0000121709,FR0000073298,FR0000124570,FR0013451333,FR0013227113,FR0010411983,FR0011950732,NL0015001W49,DE0005493365,DE0006062144,DE0007500001,DE0007493991,DE000WCH8881,DE0005810055,DE000A2E4K43,DE000ZAL1111,DE0006766504,DE000FTG1111,DE000A1DAHH0,DE000A1ML7J1,DE0007030009,DE0008303504,DE0006602006,DE000A161408,DE0005785802,DE000A0D6554,DE000LEG1110,DE0005140008,DE0005089031,DE000A0Z2ZZ5,DE0005470405,DE000ENER6Y0,DE000A1EWWW0,DE000TUAG505,DE000A0LD6E6,DE000KSAG888,DE000DTR0CK8,DE000A1K0235,DE0005664809,DE000A0D9PT0,DE0005419105,DE000A0DJ6J9,DE000A288904,DE0008232125,DE000A12DM80,DE0005552004,DE0005493092,DE0006047004,DE0005470306,DE0005439004,DE0006202005,DE0005313704,DE000KGX8881,DE0007100000,DE0005190003,DE0005158703,DE000A1PHFF7,DE0005093108,DE000SAFH001,DE000PAH0038,DE000A1H8BV3,DE0006969603,DE000EVNK013,DE000ENAG999,DE000KC01000,DE000HAG0005,DE000BASF111,Total
2025-04-28,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-27,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-26,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-25,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-24,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-23,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.87,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.07,0.0,0.59,0.46,0.0,0.0,0.47,1.29,0.0,0.47,2.03,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.59,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.39,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,54.92
2025-04-22,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.91,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,3.14,0.0,0.59,0.46,0.0,0.0,0.58,1.29,0.0,0.47,1.92,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.6,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.47,0.52,0.73,0.47,0.46,0.45,0.88,0.42,0.71,0.54,0.51,55.12
2025-04-21,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.91,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.26,0.0,0.59,0.46,0.0,0.0,0.58,1.29,0.0,0.47,1.92,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.6,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.47,0.52,0.73,0.47,0.5,0.45,0.88,0.42,0.71,0.54,0.51,55.28
2025-04-20,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.91,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.26,0.0,0.59,0.46,0.0,0.0,0.58,1.29,0.0,0.47,1.92,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.6,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.47,0.52,0.73,0.47,0.5,0.45,0.88,0.42,0.71,0.54,0.51,55.28
2025-04-19,0.0,0.0,0.48,0.0,0.0,0.43,0.49,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.91,0.49,0.47,0.0,0.48,0.48,0.47,0.54,0.0,2.19,0.0,1.57,0.0,0.72,0.0,0.0,0.61,0.0,0.0,0.51,1.08,0.0,0.51,0.61,0.0,0.0,0.71,0.0,1.62,0.0,0.0,0.0,1.57,0.68,0.89,0.61,0.0,0.0,0.9,0.0,0.0,0.59,0.0,0.69,0.0,0.9,0.73,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.73,0.59,0.0,0.0,3.01,0.0,0.0,0.0,0.79,1.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.26,0.0,0.59,0.46,0.0,0.0,0.58,1.29,0.0,0.47,1.92,0.46,0.45,0.49,0.47,0.0,0.0,0.46,0.43,0.0,1.01,0.0,0.48,0.0,0.6,0.0,0.49,0.0,0.0,0.97,0.48,0.45,0.48,1.47,0.52,0.73,0.47,0.5,0.45,0.88,0.42,0.71,0.54,0.51,55.28
