,213800S2TA8P2U4L5P50,254900EGJIB7IR00B295,213800DTEB6NWEO6E777,549300GE4E8GIYNWBX20,5493007NNS3AR86BUB68,549300A7I33B1R3UGS67,549300SHI4D0QGWI8X45,549300RHSQCH106OWF77,213800RUT3C1PCHUQP60,-077-,5493003FS3JD468P6Z37,213800R9V4YAT2TH3762,549300G4GEZ3XA3HPV97,-085-,-066-,6BS8JLEICI3VGJ264L55,2138006AZELNYKR3A325,549300UZ0KD5HX862Y09,549300ARVD4LVNCUBN81,213800YQHG6V3VDDRN10,549300CNWH54BTXURM94,549300DCU7KOL83B3B08,549300XXZKX7UGH6E231,549300GHZ48Y72I6HZ24,549300GC5MDF1KXYMP06,MQILSVGGL6RJH5NDWP11,549300UV4DM2KIBBQ741,TNWE6LERP1CI9IDAZB80,Total,Market_capitalization
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-05-04,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.44,529170000.0
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.49,5.52,529170000.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-20,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-19,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.56,529170000.0
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.59,0.0,0.53,5.44,529170000.0
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.61,0.0,0.53,5.390000000000001,529170000.0
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.19,0.49,0.0,0.49,0.61,0.0,0.53,5.210000000000001,529170000.0
