,549300X1IL2SQS14P736,-077-,549300DHAG8DBBHSYW02,549300RHSQCH106OWF77,549300DCU7KOL83B3B08,549300SHI4D0QGWI8X45,549300EJ1ZB4YYIOMD56,549300KKLDTNOIW0NU52,TNWE6LERP1CI9IDAZB80,6BS8JLEICI3VGJ264L55,2138006AZELNYKR3A325,549300RYJEP013YME360,IEY25V8W6D7HRX2LB395,549300GHZ48Y72I6HZ24,-074-,549300X6BK8XW1RP4G25,-005-,549300ARVD4LVNCUBN81,-096-,-006-,5493005OCC8XKDFQ8U37,-075-,549300RK1FB0VMTPD087,549300LVXYIVJKE13M84,-066-,Total,Market_capitalization
2025-04-28,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-27,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-26,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-25,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-24,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-23,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-22,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,0.99,0.81,0.52,6.65,2530000000.0
2025-04-21,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-20,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-19,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-18,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-17,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-16,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-15,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
2025-04-14,0.0,0.46,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.44,0.0,0.0,0.0,1.18,0.49,0.0,0.0,0.0,0.39,0.0,0.43,1.01,0.81,0.52,6.67,2530000000.0
